fuel_type,body,wheel_base,length,width,heights,curb_weight,engine_type,cylinders,engine_size,bore,stroke,comprassion,horse_power,peak_rpm,city_mpg,highway_mpg,price
gas,convertible,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,2.68,9,111,5000,21,27,13495
gas,convertible,88.6,168.8,64.1,48.8,2548,dohc,four,130,3.47,2.68,9,111,5000,21,27,16500
gas,hatchback,94.5,171.2,65.5,52.4,2823,ohcv,six,152,2.68,3.47,9,154,5000,19,26,16500
gas,sedan,99.8,176.6,66.2,54.3,2337,ohc,four,109,3.19,3.4,10,102,5500,24,30,13950
gas,sedan,99.4,176.6,66.4,54.3,2824,ohc,five,136,3.19,3.4,8,115,5500,18,22,17450
gas,sedan,99.8,177.3,66.3,53.1,2507,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,15250
gas,sedan,105.8,192.7,71.4,55.7,2844,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,17710
gas,wagon,105.8,192.7,71.4,55.7,2954,ohc,five,136,3.19,3.4,8.5,110,5500,19,25,18920
gas,sedan,105.8,192.7,71.4,55.9,3086,ohc,five,131,3.13,3.4,8.3,140,5500,17,20,23875
gas,sedan,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16430
gas,sedan,101.2,176.8,64.8,54.3,2395,ohc,four,108,3.5,2.8,8.8,101,5800,23,29,16925
gas,sedan,101.2,176.8,64.8,54.3,2710,ohc,six,164,3.31,3.19,9,121,4250,21,28,20970
gas,sedan,101.2,176.8,64.8,54.3,2765,ohc,six,164,3.31,3.19,9,121,4250,21,28,21105
gas,sedan,103.5,189,66.9,55.7,3055,ohc,six,164,3.31,3.19,9,121,4250,20,25,24565
gas,sedan,103.5,189,66.9,55.7,3230,ohc,six,209,3.62,3.39,8,182,5400,16,22,30760
gas,sedan,103.5,193.8,67.9,53.7,3380,ohc,six,209,3.62,3.39,8,182,5400,16,22,41315
gas,sedan,110,197,70.9,56.3,3505,ohc,six,209,3.62,3.39,8,182,5400,15,20,36880
gas,hatchback,88.4,141.1,60.3,53.2,1488,l,three,61,2.91,3.03,9.5,48,5100,47,53,5151
gas,hatchback,94.5,155.9,63.6,52,1874,ohc,four,90,3.03,3.11,9.6,70,5400,38,43,6295
gas,sedan,94.5,158.8,63.6,52,1909,ohc,four,90,3.03,3.11,9.6,70,5400,38,43,6575
gas,hatchback,93.7,157.3,63.8,50.8,1876,ohc,four,90,2.97,3.23,9.41,68,5500,37,41,5572
gas,hatchback,93.7,157.3,63.8,50.8,1876,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6377
gas,hatchback,93.7,157.3,63.8,50.8,2128,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,7957
gas,hatchback,93.7,157.3,63.8,50.6,1967,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6229
gas,sedan,93.7,157.3,63.8,50.6,1989,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6692
gas,sedan,93.7,157.3,63.8,50.6,1989,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,7609
gas,sedan,93.7,157.3,63.8,50.6,2191,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,8558
gas,wagon,103.3,174.6,64.6,59.8,2535,ohc,four,122,3.34,3.46,8.5,88,5000,24,30,8921
gas,hatchback,95.9,173.2,66.3,50.2,2811,ohc,four,156,3.6,3.9,7,145,5000,19,24,12964
gas,hatchback,86.6,144.6,63.9,50.8,1713,ohc,four,92,2.91,3.41,9.6,58,4800,49,54,6479
gas,hatchback,86.6,144.6,63.9,50.8,1819,ohc,four,92,2.91,3.41,9.2,76,6000,31,38,6855
gas,hatchback,93.7,150,64,52.6,1837,ohc,four,79,2.91,3.07,10.1,60,5500,38,42,5399
gas,hatchback,93.7,150,64,52.6,1940,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,6529
gas,hatchback,93.7,150,64,52.6,1956,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,7129
gas,sedan,96.5,163.4,64,54.5,2010,ohc,four,92,2.91,3.41,9.2,76,6000,30,34,7295
gas,wagon,96.5,157.1,63.9,58.3,2024,ohc,four,92,2.92,3.41,9.2,76,6000,30,34,7295
gas,hatchback,96.5,167.5,65.2,53.3,2236,ohc,four,110,3.15,3.58,9,86,5800,27,33,7895
gas,hatchback,96.5,167.5,65.2,53.3,2289,ohc,four,110,3.15,3.58,9,86,5800,27,33,9095
gas,sedan,96.5,175.4,65.2,54.1,2304,ohc,four,110,3.15,3.58,9,86,5800,27,33,8845
gas,sedan,96.5,175.4,62.5,54.1,2372,ohc,four,110,3.15,3.58,9,86,5800,27,33,10295
gas,sedan,96.5,175.4,65.2,54.1,2465,ohc,four,110,3.15,3.58,9,101,5800,24,28,12945
gas,sedan,96.5,169.1,66,51,2293,ohc,four,110,3.15,3.58,9.1,100,5500,25,31,10345
gas,sedan,94.3,170.7,61.8,53.5,2337,ohc,four,111,3.31,3.23,8.5,78,4800,24,29,6785
gas,hatchback,96,172.6,65.2,51.4,2734,ohc,four,119,3.43,3.23,9.2,90,5000,24,29,11048
gas,sedan,113,199.6,69.6,52.8,4066,dohc,six,258,3.63,4.17,8.1,176,4750,15,19,32250
gas,sedan,113,199.6,69.6,52.8,4066,dohc,six,258,3.63,4.17,8.1,176,4750,15,19,35550
gas,sedan,102,191.7,70.6,47.8,3950,ohcv,twelve,326,3.54,2.76,11.5,262,5000,13,17,36000
gas,hatchback,93.1,159.1,64.2,54.1,1890,ohc,four,91,3.03,3.15,9,68,5000,30,31,5195
gas,hatchback,93.1,159.1,64.2,54.1,1900,ohc,four,91,3.03,3.15,9,68,5000,31,38,6095
gas,hatchback,93.1,159.1,64.2,54.1,1905,ohc,four,91,3.03,3.15,9,68,5000,31,38,6795
gas,sedan,93.1,166.8,64.2,54.1,1945,ohc,four,91,3.03,3.15,9,68,5000,31,38,6695
gas,sedan,93.1,166.8,64.2,54.1,1950,ohc,four,91,3.08,3.15,9,68,5000,31,38,7395
gas,hatchback,95.3,169,65.7,49.6,2380,rotor,two,70,?,?,9.4,101,6000,17,23,10945
gas,hatchback,95.3,169,65.7,49.6,2380,rotor,two,70,?,?,9.4,101,6000,17,23,11845
gas,hatchback,95.3,169,65.7,49.6,2385,rotor,two,70,?,?,9.4,101,6000,17,23,13645
gas,hatchback,95.3,169,65.7,49.6,2500,rotor,two,80,?,?,9.4,135,6000,16,23,15645
gas,hatchback,98.8,177.8,66.5,53.7,2385,ohc,four,122,3.39,3.39,8.6,84,4800,26,32,8845
gas,sedan,98.8,177.8,66.5,55.5,2410,ohc,four,122,3.39,3.39,8.6,84,4800,26,32,8495
gas,hatchback,98.8,177.8,66.5,53.7,2385,ohc,four,122,3.39,3.39,8.6,84,4800,26,32,10595
gas,sedan,98.8,177.8,66.5,55.5,2410,ohc,four,122,3.39,3.39,8.6,84,4800,26,32,10245
diesel,sedan,98.8,177.8,66.5,55.5,2443,ohc,four,122,3.39,3.39,22.7,64,4650,36,42,10795
gas,hatchback,98.8,177.8,66.5,55.5,2425,ohc,four,122,3.39,3.39,8.6,84,4800,26,32,11245
gas,sedan,104.9,175,66.1,54.4,2670,ohc,four,140,3.76,3.16,8,120,5000,19,27,18280
diesel,sedan,104.9,175,66.1,54.4,2700,ohc,four,134,3.43,3.64,22,72,4200,31,39,18344
diesel,sedan,110,190.9,70.3,56.5,3515,ohc,five,183,3.58,3.64,21.5,123,4350,22,25,25552
diesel,wagon,110,190.9,70.3,58.7,3750,ohc,five,183,3.58,3.64,21.5,123,4350,22,25,28248
diesel,hardtop,106.7,187.5,70.3,54.9,3495,ohc,five,183,3.58,3.64,21.5,123,4350,22,25,28176
diesel,sedan,115.6,202.6,71.7,56.3,3770,ohc,five,183,3.58,3.64,21.5,123,4350,22,25,31600
gas,sedan,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,3.46,3.1,8.3,155,4750,16,18,34184
gas,convertible,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,3.46,3.1,8.3,155,4750,16,18,35056
gas,sedan,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,3.8,3.35,8,184,4500,14,16,40960
gas,hardtop,112,199.2,72,55.4,3715,ohcv,eight,304,3.8,3.35,8,184,4500,14,16,45400
gas,hatchback,102.7,178.4,68,54.8,2910,ohc,four,140,3.78,3.12,8,175,5000,19,24,16503
gas,hatchback,93.7,157.3,64.4,50.8,1918,ohc,four,92,2.97,3.23,9.4,68,5500,37,41,5389
gas,hatchback,93.7,157.3,64.4,50.8,1944,ohc,four,92,2.97,3.23,9.4,68,5500,31,38,6189
gas,hatchback,93.7,157.3,64.4,50.8,2004,ohc,four,92,2.97,3.23,9.4,68,5500,31,38,6669
gas,hatchback,93,157.3,63.8,50.8,2145,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,7689
gas,hatchback,96.3,173,65.4,49.4,2370,ohc,four,110,3.17,3.46,7.5,116,5500,23,30,9959
gas,hatchback,96.3,173,65.4,49.4,2328,ohc,four,122,3.35,3.46,8.5,88,5000,25,32,8499
gas,hatchback,95.9,173.2,66.3,50.2,2833,ohc,four,156,3.58,3.86,7,145,5000,19,24,12629
gas,hatchback,95.9,173.2,66.3,50.2,2921,ohc,four,156,3.59,3.86,7,145,5000,19,24,14869
gas,hatchback,95.9,173.2,66.3,50.2,2926,ohc,four,156,3.59,3.86,7,145,5000,19,24,14489
gas,sedan,96.3,172.4,65.4,51.6,2365,ohc,four,122,3.35,3.46,8.5,88,5000,25,32,6989
gas,sedan,96.3,172.4,65.4,51.6,2405,ohc,four,122,3.35,3.46,8.5,88,5000,25,32,8189
gas,sedan,96.3,172.4,65.4,51.6,2403,ohc,four,110,3.17,3.46,7.5,116,5500,23,30,9279
gas,sedan,96.3,172.4,65.4,51.6,2403,ohc,four,110,3.17,3.46,7.5,116,5500,23,30,9279
gas,sedan,94.5,165.3,63.8,54.5,1889,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,5499
diesel,sedan,94.5,165.3,63.8,54.5,2017,ohc,four,103,2.99,3.47,21.9,55,4800,45,50,7099
gas,sedan,94.5,165.3,63.8,54.5,1918,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,6649
gas,sedan,94.5,165.3,63.8,54.5,1938,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,6849
gas,wagon,94.5,170.2,63.8,53.5,2024,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,7349
gas,sedan,94.5,165.3,63.8,54.5,1951,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,7299
gas,hatchback,94.5,165.6,63.8,53.3,2028,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,7799
gas,sedan,94.5,165.3,63.8,54.5,1971,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,7499
gas,wagon,94.5,170.2,63.8,53.5,2037,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,7999
gas,hardtop,95.1,162.4,63.8,53.3,2008,ohc,four,97,3.15,3.29,9.4,69,5200,31,37,8249
gas,hatchback,97.2,173.4,65.2,54.7,2324,ohc,four,120,3.33,3.47,8.5,97,5200,27,34,8949
gas,sedan,97.2,173.4,65.2,54.7,2302,ohc,four,120,3.33,3.47,8.5,97,5200,27,34,9549
gas,sedan,100.4,181.7,66.5,55.1,3095,ohcv,six,181,3.43,3.27,9,152,5200,17,22,13499
gas,wagon,100.4,184.6,66.5,56.1,3296,ohcv,six,181,3.43,3.27,9,152,5200,17,22,14399
gas,sedan,100.4,184.6,66.5,55.1,3060,ohcv,six,181,3.43,3.27,9,152,5200,19,25,13499
gas,hatchback,91.3,170.7,67.9,49.7,3071,ohcv,six,181,3.43,3.27,9,160,5200,19,25,17199
gas,hatchback,91.3,170.7,67.9,49.7,3139,ohcv,six,181,3.43,3.27,7.8,200,5200,17,23,19699
gas,hatchback,99.2,178.5,67.9,49.7,3139,ohcv,six,181,3.43,3.27,9,160,5200,19,25,18399
gas,sedan,107.9,186.7,68.4,56.7,3020,l,four,120,3.46,3.19,8.4,97,5000,19,24,11900
diesel,sedan,107.9,186.7,68.4,56.7,3197,l,four,152,3.7,3.52,21,95,4150,28,33,13200
gas,wagon,114.2,198.9,68.4,58.7,3230,l,four,120,3.46,3.19,8.4,97,5000,19,24,12440
diesel,wagon,114.2,198.9,68.4,58.7,3430,l,four,152,3.7,3.52,21,95,4150,25,25,13860
gas,sedan,107.9,186.7,68.4,56.7,3075,l,four,120,3.46,2.19,8.4,95,5000,19,24,15580
diesel,sedan,107.9,186.7,68.4,56.7,3252,l,four,152,3.7,3.52,21,95,4150,28,33,16900
gas,wagon,114.2,198.9,68.4,56.7,3285,l,four,120,3.46,2.19,8.4,95,5000,19,24,16695
diesel,wagon,114.2,198.9,68.4,58.7,3485,l,four,152,3.7,3.52,21,95,4150,25,25,17075
gas,sedan,107.9,186.7,68.4,56.7,3075,l,four,120,3.46,3.19,8.4,97,5000,19,24,16630
diesel,sedan,107.9,186.7,68.4,56.7,3252,l,four,152,3.7,3.52,21,95,4150,28,33,17950
gas,sedan,108,186.7,68.3,56,3130,l,four,134,3.61,3.21,7,142,5600,18,24,18150
gas,hatchback,93.7,157.3,63.8,50.8,1918,ohc,four,90,2.97,3.23,9.4,68,5500,37,41,5572
gas,hatchback,93.7,157.3,63.8,50.8,2128,ohc,four,98,3.03,3.39,7.6,102,5500,24,30,7957
gas,hatchback,93.7,157.3,63.8,50.6,1967,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6229
gas,sedan,93.7,167.3,63.8,50.8,1989,ohc,four,90,2.97,3.23,9.4,68,5500,31,38,6692
gas,sedan,93.7,167.3,63.8,50.8,2191,ohc,four,98,2.97,3.23,9.4,68,5500,31,38,7609
gas,wagon,103.3,174.6,64.6,59.8,2535,ohc,four,122,3.35,3.46,8.5,88,5000,24,30,8921
gas,hatchback,95.9,173.2,66.3,50.2,2818,ohc,four,156,3.59,3.86,7,145,5000,19,24,12764
gas,hatchback,94.5,168.9,68.3,50.2,2778,ohc,four,151,3.94,3.11,9.5,143,5500,19,27,22018
gas,hardtop,89.5,168.9,65,51.6,2756,ohcf,six,194,3.74,2.9,9.5,207,5900,17,25,32528
gas,hardtop,89.5,168.9,65,51.6,2756,ohcf,six,194,3.74,2.9,9.5,207,5900,17,25,34028
gas,convertible,89.5,168.9,65,51.6,2800,ohcf,six,194,3.74,2.9,9.5,207,5900,17,25,37028
gas,wagon,96.1,181.5,66.5,55.2,2579,ohc,four,132,3.46,3.9,8.7,?,?,23,31,9295
gas,hatchback,96.1,176.8,66.6,50.5,2460,ohc,four,132,3.46,3.9,8.7,?,?,23,31,9895
gas,hatchback,99.1,186.6,66.5,56.1,2658,ohc,four,121,3.54,3.07,9.31,110,5250,21,28,11850
gas,sedan,99.1,186.6,66.5,56.1,2695,ohc,four,121,3.54,3.07,9.3,110,5250,21,28,12170
gas,hatchback,99.1,186.6,66.5,56.1,2707,ohc,four,121,2.54,2.07,9.3,110,5250,21,28,15040
gas,sedan,99.1,186.6,66.5,56.1,2758,ohc,four,121,3.54,3.07,9.3,110,5250,21,28,15510
gas,hatchback,99.1,186.6,66.5,56.1,2808,dohc,four,121,3.54,3.07,9,160,5500,19,26,18150
gas,sedan,99.1,186.6,66.5,56.1,2847,dohc,four,121,3.54,3.07,9,160,5500,19,26,18620
gas,hatchback,93.7,156.9,63.4,53.7,2050,ohcf,four,97,3.62,2.36,9,69,4900,31,36,5118
gas,hatchback,93.7,157.9,63.6,53.7,2120,ohcf,four,108,3.62,2.64,8.7,73,4400,26,31,7053
gas,hatchback,93.3,157.3,63.8,55.7,2240,ohcf,four,108,3.62,2.64,8.7,73,4400,26,31,7603
gas,sedan,97.2,172,65.4,52.5,2145,ohcf,four,108,3.62,2.64,9.5,82,4800,32,37,7126
gas,sedan,97.2,172,65.4,52.5,2190,ohcf,four,108,3.62,2.64,9.5,82,4400,28,33,7775
gas,sedan,97.2,172,65.4,52.5,2340,ohcf,four,108,3.62,2.64,9,94,5200,26,32,9960
gas,sedan,97,172,65.4,54.3,2385,ohcf,four,108,3.62,2.64,9,82,4800,24,25,9233
gas,sedan,97,172,65.4,54.3,2510,ohcf,four,108,3.62,2.64,7.7,111,4800,24,29,11259
gas,wagon,97,173.5,65.4,53,2290,ohcf,four,108,3.62,2.64,9,82,4800,28,32,7463
gas,wagon,97,173.5,65.4,53,2455,ohcf,four,108,3.62,2.64,9,94,5200,25,31,10198
gas,wagon,96.9,173.6,65.4,54.9,2420,ohcf,four,108,3.62,2.64,9,82,4800,23,29,8013
gas,wagon,96.9,173.6,65.4,54.9,2650,ohcf,four,108,3.62,2.64,7.7,111,4800,23,23,11694
gas,hatchback,95.7,158.7,63.6,54.5,1985,ohc,four,92,3.05,3.03,9,62,4800,35,39,5348
gas,hatchback,95.7,158.7,63.6,54.5,2040,ohc,four,92,3.05,3.03,9,62,4800,31,38,6338
gas,hatchback,95.7,158.7,63.6,54.5,2015,ohc,four,92,3.05,3.03,9,62,4800,31,38,6488
gas,wagon,95.7,169.7,63.6,59.1,2280,ohc,four,92,3.05,3.03,9,62,4800,31,37,6918
gas,wagon,95.7,169.7,63.6,59.1,2290,ohc,four,92,3.05,3.03,9,62,4800,27,32,7898
gas,wagon,95.7,169.7,63.6,59.1,3110,ohc,four,92,3.05,3.03,9,62,4800,27,32,8778
gas,sedan,95.7,166.3,64.4,53,2081,ohc,four,98,3.19,3.03,9,70,4800,30,37,6938
gas,hatchback,95.7,166.3,64.4,52.8,2109,ohc,four,98,3.19,3.03,9,70,4800,30,37,7198
diesel,sedan,95.7,166.3,64.4,53,2275,ohc,four,110,3.27,3.35,22.5,56,4500,34,36,7898
diesel,hatchback,95.7,166.3,64.4,52.8,2275,ohc,four,110,3.27,3.35,22.5,56,4500,38,47,7788
gas,sedan,95.7,166.3,64.4,53,2094,ohc,four,98,3.19,3.03,9,70,4800,38,47,7738
gas,hatchback,95.7,166.3,64.4,52.8,2122,ohc,four,98,3.19,3.03,9,70,4800,28,34,8358
gas,sedan,95.7,166.3,64.4,52.8,2140,ohc,four,98,3.19,3.03,9,70,4800,28,34,9258
gas,sedan,94.5,168.7,64,52.6,2169,ohc,four,98,3.19,3.03,9,70,4800,29,34,8058
gas,hatchback,94.5,168.7,64,52.6,2204,ohc,four,98,3.19,3.03,9,70,4800,29,34,8238
gas,sedan,94.5,168.7,64,52.6,2265,dohc,four,98,3.24,3.08,9.4,112,6600,26,29,9298
gas,hatchback,94.5,168.7,64,52.6,2300,dohc,four,98,3.24,3.08,9.4,112,6600,26,29,9538
gas,hardtop,98.4,176.2,65.6,52,2540,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,8449
gas,hardtop,98.4,176.2,65.6,52,2536,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,9639
gas,hatchback,98.4,176.2,65.6,52,2551,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,9989
gas,hardtop,98.4,176.2,65.6,52,2679,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,11199
gas,hatchback,98.4,176.2,65.6,52,2714,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,11549
gas,convertible,98.4,176.2,65.6,53,2975,ohc,four,146,3.62,3.5,9.3,116,4800,24,30,17669
gas,sedan,102.4,175.6,66.5,54.9,2326,ohc,four,122,3.31,3.54,8.7,92,4200,29,34,8948
diesel,sedan,102.4,175.6,66.5,54.9,2480,ohc,four,110,3.27,3.35,22.5,73,4500,30,33,10698
gas,hatchback,102.4,175.6,66.5,53.9,2414,ohc,four,122,3.31,3.54,8.7,92,4200,27,32,9988
gas,sedan,102.4,175.6,66.5,54.9,2414,ohc,four,122,3.31,3.54,8.7,92,4200,27,32,10898
gas,hatchback,102.4,175.6,66.5,53.9,2458,ohc,four,122,3.31,3.54,8.7,92,4200,27,32,11248
gas,hatchback,102.9,183.5,67.7,52,2976,dohc,six,171,3.27,3.35,9.3,161,5200,20,24,16558
gas,hatchback,102.9,183.5,67.7,52,3016,dohc,six,171,3.27,3.35,9.3,161,5200,19,24,15998
gas,sedan,104.5,187.8,66.5,54.1,3131,dohc,six,171,3.27,3.35,9.2,156,5200,20,24,15690
gas,wagon,104.5,187.8,66.5,54.1,3151,dohc,six,161,3.27,3.35,9.2,156,5200,19,24,15750
diesel,sedan,97.3,171.7,65.5,55.7,2261,ohc,four,97,3.01,3.4,23,52,4800,37,46,7775
gas,sedan,97.3,171.7,65.5,55.7,2209,ohc,four,109,3.19,3.4,9,85,5250,27,34,7975
diesel,sedan,97.3,171.7,65.5,55.7,2264,ohc,four,97,3.01,3.4,23,52,4800,37,46,7995
gas,sedan,97.3,171.7,65.5,55.7,2212,ohc,four,109,3.19,3.4,9,85,5250,27,34,8195
gas,sedan,97.3,171.7,65.5,55.7,2275,ohc,four,109,3.19,3.4,9,85,5250,27,34,8495
diesel,sedan,97.3,171.7,65.5,55.7,2319,ohc,four,97,3.01,3.4,23,68,4500,37,42,9495
gas,sedan,97.3,171.7,65.5,55.7,2300,ohc,four,109,3.19,3.4,10,100,5500,26,32,9995
gas,convertible,94.5,159.3,64.2,55.6,2254,ohc,four,109,3.19,3.4,8.5,90,5500,24,29,11595
gas,hatchback,94.5,165.7,64,51.4,2221,ohc,four,109,3.19,3.4,8.5,90,5500,24,29,9980
gas,sedan,100.4,180.2,66.9,55.1,2661,ohc,five,136,3.19,3.4,8.5,110,5500,19,24,13295
diesel,sedan,100.4,180.2,66.9,55.1,2579,ohc,four,97,3.01,3.4,23,68,4500,33,38,13845
gas,wagon,100.4,183.1,66.9,55.1,2563,ohc,four,109,3.19,3.4,9,88,5500,25,31,12290
gas,sedan,104.3,188.8,67.2,56.2,2912,ohc,four,141,3.78,3.15,9.5,114,5400,23,28,12940
gas,wagon,104.3,188.8,67.2,57.5,3034,ohc,four,141,3.78,3.15,9.5,114,5400,23,28,13415
gas,sedan,104.3,188.8,67.2,56.2,2935,ohc,four,141,3.78,3.15,9.5,114,5400,24,28,15985
gas,wagon,104.3,188.8,67.2,57.5,3042,ohc,four,141,3.78,3.15,9.5,114,5400,24,28,16515
gas,sedan,104.3,188.8,67.2,56.2,3045,ohc,four,130,3.62,3.15,7.5,162,5100,17,22,18420
gas,wagon,104.3,188.8,67.2,57.5,3157,ohc,four,130,3.62,3.15,7.5,162,5100,17,22,18950
gas,sedan,109.1,188.8,68.9,55.5,2952,ohc,four,141,3.78,3.15,9.5,114,5400,23,28,16845
gas,sedan,109.1,188.8,68.8,55.5,3049,ohc,four,141,3.78,3.15,8.7,160,5300,19,25,19045
gas,sedan,109.1,188.8,68.9,55.5,3012,ohcv,six,173,3.58,2.87,8.8,134,5500,18,23,21485
diesel,sedan,109.1,188.8,68.9,55.5,3217,ohc,six,145,3.01,3.4,23,106,4800,26,27,22470
gas,sedan,109.1,188.8,68.9,55.5,3062,ohc,four,141,3.78,3.15,9.5,114,5400,19,25,22625
